pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
357,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,768
357,66811,279,125290,None,None,None,None,None,None,None,None,None,None,None,None,6,2580
287,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,121
287,1123,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,13,2798
287,1123,279,125290,None,None,None,None,None,None,None,None,None,None,None,None,3,669
287,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,4,221
356,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,43
356,1123,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,7,1310
356,1123,207,519630,None,None,None,None,None,None,None,None,None,None,None,None,8,323
93,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,45
93,1123,207,519630,54,66811,None,None,None,None,None,None,None,None,None,None,1,657
156,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,15
156,1123,595,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,13
156,1123,455,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,83
453,1123,440,519630,417,66811,None,None,None,None,None,None,None,None,None,None,1,1
364,1123,694,125290,None,None,None,None,None,None,None,None,None,None,None,None,9,1935
250,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12,52
250,1123,115,519630,236,66811,None,None,None,None,None,None,None,None,None,None,1,274
250,1123,440,519630,236,66811,None,None,None,None,None,None,None,None,None,None,2,215
341,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34,159
341,1123,115,519630,82,66811,None,None,None,None,None,None,None,None,None,None,1,89
341,1123,440,519630,82,66811,None,None,None,None,None,None,None,None,None,None,1,10
463,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12,105
463,1123,680,125290,253,47289,253,47091,253,47490,None,None,None,None,None,None,1,99
341,1123,440,519630,None,None,82,66811,None,None,None,None,None,None,None,None,7,2134
93,1123,168,519630,54,66811,None,None,None,None,None,None,None,None,None,None,1,63
154,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,24
154,1123,168,519630,58,66811,None,None,None,None,None,None,None,None,None,None,1,76
12,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,827
12,1123,168,519630,66,68861,None,None,None,None,None,None,None,None,None,None,1,98
93,1123,106,519630,None,None,54,66811,None,None,None,None,None,None,None,None,2,41
93,1123,207,519630,None,None,54,66811,None,None,None,None,None,None,None,None,1,12
154,1123,106,519630,None,None,58,66811,None,None,None,None,None,None,None,None,1,113
474,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,21
474,1123,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,766
425,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,52
425,1123,264,519630,None,None,None,None,None,None,None,None,None,None,None,None,5,2098
425,1123,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,4,336
51,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,10476
51,1123,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,8,647
20,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,1148
20,1123,680,125290,None,None,None,None,None,None,None,None,None,None,None,None,7,1473
20,1123,825,125290,175,2325,None,None,None,None,None,None,None,None,None,None,1,1147
384,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21,2374
384,1123,276,519630,None,None,None,None,None,None,None,None,None,None,None,None,16,5082
453,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11,48
453,1123,115,519630,417,66811,None,None,None,None,None,None,None,None,None,None,2,251
364,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,66
253,66811,680,125290,253,47091,253,47289,253,47490,None,None,None,None,None,None,3,532
93,66811,106,519630,287,1123,None,None,None,None,None,None,None,None,None,None,5,2285
93,66811,207,519630,287,1123,None,None,None,None,None,None,None,None,None,None,4,479
54,66811,168,519630,None,None,93,1123,None,None,None,None,None,None,None,None,2,241
58,66811,106,519630,154,1123,None,None,None,None,None,None,None,None,None,None,2,65
